Horario,Tentativas,Status,Ultima_String,Ultimo_Hash
---,---,META,RECUPERAR_SENHA,ae27918d
Thu Jan  1 13:53:27 2026,500000,EM_ANDAMENTO,2UR,580a291b
Thu Jan  1 13:53:28 2026,1000000,EM_ANDAMENTO,PtlpewQ,828b0d97
Thu Jan  1 13:53:30 2026,1500000,EM_ANDAMENTO,V0LlaK630rLu,64c2fcd9
Thu Jan  1 13:53:31 2026,2000000,EM_ANDAMENTO,Ic,c0df7b96
Thu Jan  1 13:53:33 2026,2500000,EM_ANDAMENTO,efI2BkpTg,5587062e
Thu Jan  1 13:53:34 2026,3000000,EM_ANDAMENTO,D6X,d584eee5
Thu Jan  1 13:53:36 2026,3500000,EM_ANDAMENTO,PFurWD,4252259e
Thu Jan  1 13:53:37 2026,4000000,EM_ANDAMENTO,XFstJ,f3bcf766
Thu Jan  1 13:53:39 2026,4500000,EM_ANDAMENTO,QNrdbB,599cfc56
Thu Jan  1 13:53:40 2026,5000000,EM_ANDAMENTO,lYRCpdIUCIX,8fe90a3a
Thu Jan  1 13:53:42 2026,5500000,EM_ANDAMENTO,ZnzmG,99cb8a92
Thu Jan  1 13:53:44 2026,6000000,EM_ANDAMENTO,Y7,bcd0e247
Thu Jan  1 13:53:45 2026,6500000,EM_ANDAMENTO,o,a0b20673
Thu Jan  1 13:53:47 2026,7000000,EM_ANDAMENTO,2,4e9e3870
Thu Jan  1 13:53:48 2026,7500000,EM_ANDAMENTO,iJdn,2af5259a
Thu Jan  1 13:53:50 2026,8000000,EM_ANDAMENTO,P9awT,4d4ccd1e
Thu Jan  1 13:53:51 2026,8500000,EM_ANDAMENTO,GRPHraMGa9EX,d86345ab
Thu Jan  1 13:53:53 2026,9000000,EM_ANDAMENTO,qH,c9738b3a
Thu Jan  1 13:53:54 2026,9500000,EM_ANDAMENTO,r9DhUR3FFCf,0bd594ce
Thu Jan  1 13:53:56 2026,10000000,EM_ANDAMENTO,IDKcl,92f2784d
Thu Jan  1 13:53:58 2026,10500000,EM_ANDAMENTO,KKp2O1TtW0,ca352ef9
Thu Jan  1 13:53:59 2026,11000000,EM_ANDAMENTO,7D,bbbeb864
Thu Jan  1 13:54:01 2026,11500000,EM_ANDAMENTO,d33,39a09f21
Thu Jan  1 13:54:02 2026,12000000,EM_ANDAMENTO,1Zcyd0tdimF,5854c6b4
Thu Jan  1 13:54:04 2026,12500000,EM_ANDAMENTO,BPg2m4dgEH0i,863940d1
Thu Jan  1 13:54:05 2026,13000000,EM_ANDAMENTO,qOHjlk,578c5f58
Thu Jan  1 13:54:07 2026,13500000,EM_ANDAMENTO,Hc8I,fd4429a2
Thu Jan  1 13:54:08 2026,14000000,EM_ANDAMENTO,Hatk59cy8,edd4d8ac
Thu Jan  1 13:54:10 2026,14500000,EM_ANDAMENTO,dq,b84be06b
Thu Jan  1 13:54:12 2026,15000000,EM_ANDAMENTO,2X4EkNgSB9,7c4a1d29
Thu Jan  1 13:54:13 2026,15500000,EM_ANDAMENTO,CLU,60be7ca5
Thu Jan  1 13:54:15 2026,16000000,EM_ANDAMENTO,W61lpKBfs7jH,38be31f7
Thu Jan  1 13:54:16 2026,16500000,EM_ANDAMENTO,wq1nC4WT3yg,b15d0ba3
Thu Jan  1 13:54:18 2026,17000000,EM_ANDAMENTO,WnuIjFATiC2,4d92698d
Thu Jan  1 13:54:19 2026,17500000,EM_ANDAMENTO,Q05TH6SjLH1a,b162a272
Thu Jan  1 13:54:21 2026,18000000,EM_ANDAMENTO,HvHeFLN4y4Zb,62b03768
Thu Jan  1 13:54:22 2026,18500000,EM_ANDAMENTO,prdOHLgGvH9F,85a3d7b5
Thu Jan  1 13:54:24 2026,19000000,EM_ANDAMENTO,91,e0414b89
Thu Jan  1 13:54:25 2026,19500000,EM_ANDAMENTO,QaRq,6c72120f
Thu Jan  1 13:54:27 2026,20000000,EM_ANDAMENTO,8QP1BP,22813f90
Thu Jan  1 13:54:29 2026,20500000,EM_ANDAMENTO,5xtFdC,4f5ef9b9
Thu Jan  1 13:54:30 2026,21000000,EM_ANDAMENTO,Xla,c594cf52
Thu Jan  1 13:54:32 2026,21500000,EM_ANDAMENTO,sigoS,df4ce65f
Thu Jan  1 13:54:34 2026,22000000,EM_ANDAMENTO,5qaG7Al26Gfm,a06af191
Thu Jan  1 13:54:35 2026,22500000,EM_ANDAMENTO,FctNIs1rBlS,f8b15161
Thu Jan  1 13:54:37 2026,23000000,EM_ANDAMENTO,F8SD,07ddfde5
Thu Jan  1 13:54:38 2026,23500000,EM_ANDAMENTO,zCBSKNYLJIs,bd2d7566
Thu Jan  1 13:54:40 2026,24000000,EM_ANDAMENTO,dM3kzLuT,af963528
Thu Jan  1 13:54:41 2026,24500000,EM_ANDAMENTO,47gDWde,f52777ff
Thu Jan  1 13:54:43 2026,25000000,EM_ANDAMENTO,wQ12Rk3tkHp,679e6c8f
Thu Jan  1 13:54:44 2026,25500000,EM_ANDAMENTO,w3h4liIt,fb3508cf
Thu Jan  1 13:54:46 2026,26000000,EM_ANDAMENTO,pc8,e4b71147
Thu Jan  1 13:54:47 2026,26500000,EM_ANDAMENTO,q,87b8d13b
Thu Jan  1 13:54:49 2026,27000000,EM_ANDAMENTO,xw6tlw9wy0,8882bca7
Thu Jan  1 13:54:51 2026,27500000,EM_ANDAMENTO,TI8C,c4a8790d
Thu Jan  1 13:54:52 2026,28000000,EM_ANDAMENTO,VM7N,29b25a9c
Thu Jan  1 13:54:54 2026,28500000,EM_ANDAMENTO,frnBGd7i,c488ed0d
Thu Jan  1 13:54:55 2026,29000000,EM_ANDAMENTO,PXTkPNDe84q,80e3af13
Thu Jan  1 13:54:57 2026,29500000,EM_ANDAMENTO,H,db72f8cc
Thu Jan  1 13:54:58 2026,30000000,EM_ANDAMENTO,4XANyN,9d91698b
Thu Jan  1 13:55:00 2026,30500000,EM_ANDAMENTO,DskQ3GTbK,21d04524
Thu Jan  1 13:55:02 2026,31000000,EM_ANDAMENTO,ZthVoy4z,c7e2687b
Thu Jan  1 13:55:03 2026,31500000,EM_ANDAMENTO,08hriY,dcfd4bdc
Thu Jan  1 13:55:05 2026,32000000,EM_ANDAMENTO,1,ebaf5ccd
Thu Jan  1 13:55:06 2026,32500000,EM_ANDAMENTO,3D0j1k7Ze,40afa8d7
Thu Jan  1 13:55:08 2026,33000000,EM_ANDAMENTO,KsazM2OW,1e0d5575
Thu Jan  1 13:55:10 2026,33500000,EM_ANDAMENTO,LD9nq,36c2b0d6
Thu Jan  1 13:55:11 2026,34000000,EM_ANDAMENTO,JfZKMmysdXR,cdbdc792
Thu Jan  1 13:55:13 2026,34500000,EM_ANDAMENTO,C6x1iIU,04a5baf6
Thu Jan  1 13:55:14 2026,35000000,EM_ANDAMENTO,abx7C7PH,5ce42239
Thu Jan  1 13:55:16 2026,35500000,EM_ANDAMENTO,m,c5c95598
Thu Jan  1 13:55:17 2026,36000000,EM_ANDAMENTO,wnKc,ba95d566
Thu Jan  1 13:55:19 2026,36500000,EM_ANDAMENTO,D,f0695584
Thu Jan  1 13:55:20 2026,37000000,EM_ANDAMENTO,cAYx3XQ,b03de8f3
Thu Jan  1 13:55:22 2026,37500000,EM_ANDAMENTO,Hxa2fNSoe0,799a2dce
Thu Jan  1 13:55:23 2026,38000000,EM_ANDAMENTO,hB,261a4a84
Thu Jan  1 13:55:25 2026,38500000,EM_ANDAMENTO,7MVduZgzdona,a6f2710b
Thu Jan  1 13:55:27 2026,39000000,EM_ANDAMENTO,Vge3Iz26Zev,9472f9c4
Thu Jan  1 13:55:28 2026,39500000,EM_ANDAMENTO,cGfNa2rs,7aee1382
Thu Jan  1 13:55:30 2026,40000000,EM_ANDAMENTO,93RCpUmX,71ca4935
Thu Jan  1 13:55:31 2026,40500000,EM_ANDAMENTO,g,7a529e89
Thu Jan  1 13:55:33 2026,41000000,EM_ANDAMENTO,nwO6Pns,5327cf7e
Thu Jan  1 13:55:34 2026,41500000,EM_ANDAMENTO,JKFu,649477dc
Thu Jan  1 13:55:36 2026,42000000,EM_ANDAMENTO,Fem8f8C6s,240be467
Thu Jan  1 13:55:38 2026,42500000,EM_ANDAMENTO,HQIWc0cGX0,900df608
Thu Jan  1 13:55:39 2026,43000000,EM_ANDAMENTO,HdzAy78Y,b66458a8
Thu Jan  1 13:55:41 2026,43500000,EM_ANDAMENTO,yLzZ0MmJ8Y,68b49813
Thu Jan  1 13:55:43 2026,44000000,EM_ANDAMENTO,OyKjaTE,6dcaa1ed
Thu Jan  1 13:55:44 2026,44500000,EM_ANDAMENTO,snZx9V4,5a51b4ab
Thu Jan  1 13:55:46 2026,45000000,EM_ANDAMENTO,rNHYrAd6azo,1468dd82
Thu Jan  1 13:55:47 2026,45500000,EM_ANDAMENTO,c4uOqBu,11e6f611
Thu Jan  1 13:55:49 2026,46000000,EM_ANDAMENTO,ua3,28609ec3
Thu Jan  1 13:55:50 2026,46500000,EM_ANDAMENTO,Bo93b,e33a75f1
Thu Jan  1 13:55:52 2026,47000000,EM_ANDAMENTO,vTN,e4b0aee6
Thu Jan  1 13:55:53 2026,47500000,EM_ANDAMENTO,wqp,b4ae162e
Thu Jan  1 13:55:55 2026,48000000,EM_ANDAMENTO,5XCIXxK9,7e801889
Thu Jan  1 13:55:56 2026,48500000,EM_ANDAMENTO,wD9,679ae01b
Thu Jan  1 13:55:58 2026,49000000,EM_ANDAMENTO,VTmLAlMb,f7f64574
Thu Jan  1 13:56:00 2026,49500000,EM_ANDAMENTO,sRY,01b46293
Thu Jan  1 13:56:01 2026,50000000,EM_ANDAMENTO,63,1b240e2c
Thu Jan  1 13:56:03 2026,50500000,EM_ANDAMENTO,Wm3,99a3443a
Thu Jan  1 13:56:04 2026,51000000,EM_ANDAMENTO,CNQ,28d24bb5
Thu Jan  1 13:56:06 2026,51500000,EM_ANDAMENTO,H,db72f8cc
Thu Jan  1 13:56:07 2026,52000000,EM_ANDAMENTO,a,85c8de88
Thu Jan  1 13:56:09 2026,52500000,EM_ANDAMENTO,RG,355763e2
Thu Jan  1 13:56:10 2026,53000000,EM_ANDAMENTO,31H4AnTWCOl0,db7fe887
Thu Jan  1 13:56:12 2026,53500000,EM_ANDAMENTO,RAG,af5c4721
Thu Jan  1 13:56:14 2026,54000000,EM_ANDAMENTO,jnX,4fac822c
Thu Jan  1 13:56:15 2026,54500000,EM_ANDAMENTO,leB,73f50bd7
Thu Jan  1 13:56:17 2026,55000000,EM_ANDAMENTO,Tmd7AQYTwPZ,826007fc
Thu Jan  1 13:56:18 2026,55500000,EM_ANDAMENTO,cs6VodHEE,db70aba5
Thu Jan  1 13:56:20 2026,56000000,EM_ANDAMENTO,bzl,64567e85
Thu Jan  1 13:56:21 2026,56500000,EM_ANDAMENTO,EybvB5t5R,040e7b1c
Thu Jan  1 13:56:23 2026,57000000,EM_ANDAMENTO,PPmUjiP74,10c28ecc
Thu Jan  1 13:56:25 2026,57500000,EM_ANDAMENTO,vU8b,88042d97
Thu Jan  1 13:56:26 2026,58000000,EM_ANDAMENTO,mlJtxbPvr,2f3f0cf8
Thu Jan  1 13:56:28 2026,58500000,EM_ANDAMENTO,u6Bq7mO,9058e911
Thu Jan  1 13:56:29 2026,59000000,EM_ANDAMENTO,6wvYB0,beec34d6
Thu Jan  1 13:56:31 2026,59500000,EM_ANDAMENTO,SVl2SX42zUz,d1a72686
Thu Jan  1 13:56:32 2026,60000000,EM_ANDAMENTO,PVp8oqhR0,bc41fd46
Thu Jan  1 13:56:34 2026,60500000,EM_ANDAMENTO,CEz,a80f8d7c
Thu Jan  1 13:56:35 2026,61000000,EM_ANDAMENTO,3R33,0abce5e4
Thu Jan  1 13:56:37 2026,61500000,EM_ANDAMENTO,kI30etb,df607732
Thu Jan  1 13:56:39 2026,62000000,EM_ANDAMENTO,c,a5c1009b
Thu Jan  1 13:56:40 2026,62500000,EM_ANDAMENTO,UmtM1fcmdLmz,52775f60
Thu Jan  1 13:56:42 2026,63000000,EM_ANDAMENTO,eDE7O,d707a1ea
Thu Jan  1 13:56:43 2026,63500000,EM_ANDAMENTO,IWm,6effc6f5
Thu Jan  1 13:56:45 2026,64000000,EM_ANDAMENTO,K,58a8694c
Thu Jan  1 13:56:46 2026,64500000,EM_ANDAMENTO,mV179D2ZP,57b44da9
Thu Jan  1 13:56:48 2026,65000000,EM_ANDAMENTO,M7po9rg1,e983dcd1
Thu Jan  1 13:56:49 2026,65500000,EM_ANDAMENTO,k,ac20c833
Thu Jan  1 13:56:51 2026,66000000,EM_ANDAMENTO,ZXInUUIa9Iy,7c604b39
Thu Jan  1 13:56:52 2026,66500000,EM_ANDAMENTO,0JlFZvQbCC,12b75655
Thu Jan  1 13:56:54 2026,67000000,EM_ANDAMENTO,fBscpMmFj0,09421197
Thu Jan  1 13:56:56 2026,67500000,EM_ANDAMENTO,1,ebaf5ccd
Thu Jan  1 13:56:57 2026,68000000,EM_ANDAMENTO,cOMxcXZSFV,6a91ee82
Thu Jan  1 13:56:59 2026,68500000,EM_ANDAMENTO,6u0lPwjliJ,1377e63b
Thu Jan  1 13:57:00 2026,69000000,EM_ANDAMENTO,IHAYVA7U,4ecfa809
Thu Jan  1 13:57:02 2026,69500000,EM_ANDAMENTO,MOojcUqlS5,1ddb9fca
Thu Jan  1 13:57:03 2026,70000000,EM_ANDAMENTO,8cmc2B6,21bd635e
Thu Jan  1 13:57:05 2026,70500000,EM_ANDAMENTO,JA71oq,fdf5c781
Thu Jan  1 13:57:07 2026,71000000,EM_ANDAMENTO,70c,d7493c13
Thu Jan  1 13:57:08 2026,71500000,EM_ANDAMENTO,TsJuR,f9c0cfe7
Thu Jan  1 13:57:10 2026,72000000,EM_ANDAMENTO,onbrfMWNCu,e13d7bd1
Thu Jan  1 13:57:11 2026,72500000,EM_ANDAMENTO,Sol,490da612
Thu Jan  1 13:57:13 2026,73000000,EM_ANDAMENTO,iblLuZ9Lc,8ff1a400
Thu Jan  1 13:57:14 2026,73500000,EM_ANDAMENTO,oP6,b333d714
Thu Jan  1 13:57:16 2026,74000000,EM_ANDAMENTO,QUyy,6e01bc73
Thu Jan  1 13:57:17 2026,74500000,EM_ANDAMENTO,FfBK43AuY0q0,02364e98
Thu Jan  1 13:57:19 2026,75000000,EM_ANDAMENTO,MYSCu,29d39388
Thu Jan  1 13:57:21 2026,75500000,EM_ANDAMENTO,9wC,2d188e71
Thu Jan  1 13:57:22 2026,76000000,EM_ANDAMENTO,zMNA0D,15f93b81
Thu Jan  1 13:57:24 2026,76500000,EM_ANDAMENTO,8R,aceb5558
Thu Jan  1 13:57:26 2026,77000000,EM_ANDAMENTO,lvFZ,e9cfe0b4
Thu Jan  1 13:57:27 2026,77500000,EM_ANDAMENTO,NAnQc48YxIv,21427ced
Thu Jan  1 13:57:29 2026,78000000,EM_ANDAMENTO,gPjTPpN,13660028
Thu Jan  1 13:57:30 2026,78500000,EM_ANDAMENTO,Xo1fKNuYA4hb,37cd0c64
Thu Jan  1 13:57:32 2026,79000000,EM_ANDAMENTO,dNefKy4z6o,a3909bbd
Thu Jan  1 13:57:33 2026,79500000,EM_ANDAMENTO,9h6OlKu,684d5363
Thu Jan  1 13:57:35 2026,80000000,EM_ANDAMENTO,nyO4CiQuG,84baedb9
Thu Jan  1 13:57:37 2026,80500000,EM_ANDAMENTO,AHG,07038165
Thu Jan  1 13:57:38 2026,81000000,EM_ANDAMENTO,3XQOTtDh,8fbfd36b
Thu Jan  1 13:57:40 2026,81500000,EM_ANDAMENTO,cqohnUF4,b1ec665c
Thu Jan  1 13:57:41 2026,82000000,EM_ANDAMENTO,nXuSriUa,53e6926d
Thu Jan  1 13:57:43 2026,82500000,EM_ANDAMENTO,FODQDi,5cb367f9
Thu Jan  1 13:57:44 2026,83000000,EM_ANDAMENTO,4wI2,19f7c6ed
Thu Jan  1 13:57:46 2026,83500000,EM_ANDAMENTO,LvMVfaf,fec0a62b
Thu Jan  1 13:57:47 2026,84000000,EM_ANDAMENTO,CGQ,1eacb73e
Thu Jan  1 13:57:49 2026,84500000,EM_ANDAMENTO,ZF2e,cdae8877
Thu Jan  1 13:57:51 2026,85000000,EM_ANDAMENTO,NSyeZp,e1213fb7
Thu Jan  1 13:57:52 2026,85500000,EM_ANDAMENTO,gUR5FYrF,943ae73c
Thu Jan  1 13:57:54 2026,86000000,EM_ANDAMENTO,9JtrWcjsA,bf8bc044
Thu Jan  1 13:57:55 2026,86500000,EM_ANDAMENTO,pQdIk1mPeNn,35c1a432
Thu Jan  1 13:57:57 2026,87000000,EM_ANDAMENTO,6VeW4xA,455005af
Thu Jan  1 13:57:58 2026,87500000,EM_ANDAMENTO,9Bz4bU0p,60977bce
Thu Jan  1 13:58:00 2026,88000000,EM_ANDAMENTO,e,bb2b536f
Thu Jan  1 13:58:02 2026,88500000,EM_ANDAMENTO,CIDoHUy,c1e69f2f
Thu Jan  1 13:58:03 2026,89000000,EM_ANDAMENTO,1RoxschhM,8c764048
Thu Jan  1 13:58:05 2026,89500000,EM_ANDAMENTO,rkHT,33fef6a8
Thu Jan  1 13:58:06 2026,90000000,EM_ANDAMENTO,G2l8i,d14f54ad
Thu Jan  1 13:58:08 2026,90500000,EM_ANDAMENTO,yCWlMq3BV,f6d96f35
Thu Jan  1 13:58:09 2026,91000000,EM_ANDAMENTO,Wcc,d174aab7
Thu Jan  1 13:58:11 2026,91500000,EM_ANDAMENTO,uqpm6443QbR,b0ca42e6
Thu Jan  1 13:58:12 2026,92000000,EM_ANDAMENTO,al82jU59h4Gg,909d79e2
Thu Jan  1 13:58:14 2026,92500000,EM_ANDAMENTO,ZEV0YXwiUeCZ,39e86a90
Thu Jan  1 13:58:15 2026,93000000,EM_ANDAMENTO,gPs,6de1011f
Thu Jan  1 13:58:17 2026,93500000,EM_ANDAMENTO,l,5238d98f
Thu Jan  1 13:58:19 2026,94000000,EM_ANDAMENTO,ZQJVymf,3bf6e93e
Thu Jan  1 13:58:20 2026,94500000,EM_ANDAMENTO,1,ebaf5ccd
Thu Jan  1 13:58:22 2026,95000000,EM_ANDAMENTO,WfwTysbA4n0,538a1ab4
Thu Jan  1 13:58:23 2026,95500000,EM_ANDAMENTO,v,904f2f17
Thu Jan  1 13:58:25 2026,96000000,EM_ANDAMENTO,R23T2fJAvk9d,55e97ec0
Thu Jan  1 13:58:27 2026,96500000,EM_ANDAMENTO,hUyWNe7lkU52,cea292a7
Thu Jan  1 13:58:28 2026,97000000,EM_ANDAMENTO,V9GjBWttPfH8,3d954de3
Thu Jan  1 13:58:30 2026,97500000,EM_ANDAMENTO,IzIlVpO19H,9b681e97
Thu Jan  1 13:58:31 2026,98000000,EM_ANDAMENTO,swAvCr,56bcd07b
Thu Jan  1 13:58:33 2026,98500000,EM_ANDAMENTO,0Euv4vUNOpL,0b13f9c6
Thu Jan  1 13:58:34 2026,99000000,EM_ANDAMENTO,uDmyFVZR,bc42ddaf
Thu Jan  1 13:58:36 2026,99500000,EM_ANDAMENTO,xEO,ab405ed4
Thu Jan  1 13:58:38 2026,100000000,EM_ANDAMENTO,Sz,64bc20e6
Thu Jan  1 13:58:39 2026,100500000,EM_ANDAMENTO,y,4cccd98d
Thu Jan  1 13:58:41 2026,101000000,EM_ANDAMENTO,Dkf,c67468c7
Thu Jan  1 13:58:42 2026,101500000,EM_ANDAMENTO,rvu9uwFf2Hs,bbc4eaac
Thu Jan  1 13:58:44 2026,102000000,EM_ANDAMENTO,M6EgEnFVU,d203bd6c
Thu Jan  1 13:58:45 2026,102500000,EM_ANDAMENTO,h,ed6dba4b
Thu Jan  1 13:58:47 2026,103000000,EM_ANDAMENTO,d3ffoq6,ced2caff
Thu Jan  1 13:58:49 2026,103500000,EM_ANDAMENTO,grwVj,2feee977
Thu Jan  1 13:58:50 2026,104000000,EM_ANDAMENTO,ofoUATI5,5c7af5ba
Thu Jan  1 13:58:52 2026,104500000,EM_ANDAMENTO,VM,18d15fb6
Thu Jan  1 13:58:53 2026,105000000,EM_ANDAMENTO,0e,f8202907
Thu Jan  1 13:58:55 2026,105500000,EM_ANDAMENTO,4y,66c033bc
Thu Jan  1 13:58:56 2026,106000000,EM_ANDAMENTO,SX,fafc5a95
Thu Jan  1 13:58:58 2026,106500000,EM_ANDAMENTO,os4sRXL,3948e827
Thu Jan  1 13:58:59 2026,107000000,EM_ANDAMENTO,UZQ4,83f2c2db
Thu Jan  1 13:59:01 2026,107500000,EM_ANDAMENTO,cOcH,55cbea78
Thu Jan  1 13:59:03 2026,108000000,EM_ANDAMENTO,Buk89DEcFnm,dd957b63
Thu Jan  1 13:59:04 2026,108500000,EM_ANDAMENTO,s42tA7MPGipo,b0c74d1a
Thu Jan  1 13:59:06 2026,109000000,EM_ANDAMENTO,aV07d,2e58dee9
Thu Jan  1 13:59:07 2026,109500000,EM_ANDAMENTO,aoossdT,a2b61b1e
Thu Jan  1 13:59:09 2026,110000000,EM_ANDAMENTO,c,a5c1009b
Thu Jan  1 13:59:10 2026,110500000,EM_ANDAMENTO,MvONVYE1,a084540e
Thu Jan  1 13:59:12 2026,111000000,EM_ANDAMENTO,DOtb4h7,044ed89d
Thu Jan  1 13:59:14 2026,111500000,EM_ANDAMENTO,71AxM,d9b5d30b
Thu Jan  1 13:59:15 2026,112000000,EM_ANDAMENTO,fMmC,a1028fd9
Thu Jan  1 13:59:17 2026,112500000,EM_ANDAMENTO,xWRRpo9E0IV,d6d0477a
Thu Jan  1 13:59:18 2026,113000000,EM_ANDAMENTO,9C1H,ca0c007f
Thu Jan  1 13:59:20 2026,113500000,EM_ANDAMENTO,kdrgQpcG,e74c983b
Thu Jan  1 13:59:21 2026,114000000,EM_ANDAMENTO,EhBforiJ2JSz,4bb7e584
Thu Jan  1 13:59:23 2026,114500000,EM_ANDAMENTO,7yh11G,716ea5b8
Thu Jan  1 13:59:24 2026,115000000,EM_ANDAMENTO,D2qP2OO,56190dfb
Thu Jan  1 13:59:26 2026,115500000,EM_ANDAMENTO,1aOslF,879efd8d
Thu Jan  1 13:59:28 2026,116000000,EM_ANDAMENTO,QZvnPEKk77gR,a25d9f14
Thu Jan  1 13:59:29 2026,116500000,EM_ANDAMENTO,3AoOMpdQ6L,a3f1a845
Thu Jan  1 13:59:31 2026,117000000,EM_ANDAMENTO,4ow,46119ac3
Thu Jan  1 13:59:32 2026,117500000,EM_ANDAMENTO,jd68LlC,d1e2b97d
Thu Jan  1 13:59:34 2026,118000000,EM_ANDAMENTO,Oziozm,592581df
Thu Jan  1 13:59:36 2026,118500000,EM_ANDAMENTO,Jn4hF,bd5db0d3
Thu Jan  1 13:59:37 2026,119000000,EM_ANDAMENTO,VN14,99a094e9
Thu Jan  1 13:59:39 2026,119500000,EM_ANDAMENTO,gjcL9jmFIVN,a9918973
Thu Jan  1 13:59:40 2026,120000000,EM_ANDAMENTO,ITVvmRIl4tLT,9fc90a1c
Thu Jan  1 13:59:42 2026,120500000,EM_ANDAMENTO,d9tMXKV2F,763f4045
